"id";"objectid";"point_lat";"point_lng";"xkey";"vrije_hoogte";"ophanging";"type";"vorm";"afmeting1";"afmeting2";"opschrift";"fabtype";"beeldvlak";"fabdatum";"subkey";"x";"y";"shape"
"5410";"13731016";"51.23284436575300";"4.41117561903720";"98968";"2500";"Steun";"GXb";"rh";"100";"400";"";"Vlak";"Type I";"1950-01-01";"98968.B3";"152962.75773819";"213658.05028452";""
"5413";"13731017";"51.23310632580900";"4.41121787967360";"98969";"2700";"";"School";"rh";"700";"200";"SCHOOL|";"SB250";"Type II";"1950-01-01";"98969.B1";"152965.69259154";"213687.19641434";""
"5416";"13731018";"51.23310632580900";"4.41121787967360";"98970";"2550";"Muurarmatuur";"School";"rh";"700";"200";"SCHOOL|";"SB250";"Type II";"1999-01-01";"98970.B1";"152965.69259154";"213687.19641434";""
"5419";"13731019";"51.23344654155300";"4.41118631842710";"98971";"2500";"Steun";"F19";"rh";"700";"700";"";"Vlak";"Type I";"1993-01-01";"98971.B1";"152963.46615107";"213725.04590237";""
"5422";"13731020";"51.23344654155300";"4.41118631842710";"98971";"2500";"Steun";"M5";"rh";"700";"400";"";"SB250";"Type I";"1993-01-01";"98971.B2";"152963.46615107";"213725.04590237";""
"5425";"13731021";"51.23226032543100";"4.41253328835700";"98973";"2800";"Muurarmatuur";"A23";"dh";"700";"0";"";"Vlak";"Type I";"1993-01-01";"98973.B1";"153057.6261693";"213593.12870945";""
"5428";"13731022";"51.23226032543100";"4.41253328835700";"98973";"2800";"Muurarmatuur";"GIa";"rh";"450";"225";"100m";"Vlak";"Type I";"1950-01-01";"98973.B2";"153057.6261693";"213593.12870945";""
"5431";"13731023";"51.23226161223500";"4.41275018207620";"98974";"3300";"Muurarmatuur";"F19";"rh";"700";"700";"";"Vlak";"Type I";"1993-01-01";"98974.B1";"153072.77570579";"213593.2809661";""
"5434";"13731024";"51.23226161223500";"4.41275018207620";"98974";"3300";"Muurarmatuur";"M5";"rh";"700";"400";"";"Vlak";"Type I";"1994-01-01";"98974.B2";"153072.77570579";"213593.2809661";""
"5437";"13731025";"51.23226493608000";"4.41300740439410";"98975";"2100";"Muurarmatuur";"B17";"dh";"700";"0";"";"Vlak";"Type I";"1993-01-01";"98975.B1";"153090.74199027";"213593.66160772";""
"5440";"13731026";"51.23226493608000";"4.41300740439410";"98975";"2100";"Muurarmatuur";"M10";"rh";"700";"400";"";"Vlak";"Type I";"1994-01-01";"98975.B2";"153090.74199027";"213593.66160772";""
"5443";"13731027";"51.23225514541600";"4.41355889020470";"98976";"2500";"Steun";"C21";"ro";"700";"0";"3t5";"SB250";"Type II";"1950-01-01";"98976.B1";"153129.26292225";"213592.59581118";""
"5446";"13731028";"51.23225514541600";"4.41355889020470";"98976";"2500";"Steun";"F4a";"rh";"600";"900";"";"SB250";"Type I";"2005-01-01";"98976.B2";"153129.26292225";"213592.59581118";""
"5449";"13731029";"51.23225514541600";"4.41355889020470";"98976";"2500";"Steun";"GIV";"rh";"450";"250";"UITGEZONDERD|LADEN EN|LOSSEN|";"SB250";"Type I";"1950-01-01";"98976.B3";"153129.26292225";"213592.59581118";""
"5452";"13731030";"51.23213906622300";"4.41365803352770";"98977";"4000";"";"F4b";"rh";"600";"900";"";"SB250";"Type I";"2005-01-01";"98977.B1";"153136.19583076";"213579.6856463";""
"5455";"13731031";"51.23213906622300";"4.41365803352770";"98978";"2650";"Verlichtingspaal";"B17";"dh";"700";"0";"";"SB250";"Type II";"2000-01-01";"98978.B1";"153136.19583076";"213579.6856463";""
"5458";"13731032";"51.23213906622300";"4.41365803352770";"98978";"2650";"Verlichtingspaal";"F13";"rh";"700";"700";"";"SB250";"Type II";"2000-01-01";"98978.B2";"153136.19583076";"213579.6856463";""
"5461";"13731033";"51.23326551541300";"4.41355114585430";"98979";"2500";"Verlichtingspaal";"F4b";"rh";"600";"900";"";"SB250";"Type I";"2005-01-01";"98979.B1";"153128.6531233";"213705.00436674";""
"5464";"13731034";"51.23323807189900";"4.41333526560680";"98980";"2450";"Muurarmatuur";"School";"rh";"700";"200";"SCHOOL|";"SB250";"Type II";"1999-01-01";"98980.B1";"153113.57647141";"213701.94192183";""
"5467";"13731035";"51.23323807189900";"4.41333526560680";"98981";"2600";"";"School";"rh";"700";"200";"SCHOOL|";"SB250";"Type II";"1950-01-01";"98981.B1";"153113.57647141";"213701.94192183";""
"5470";"13731036";"51.23323881927100";"4.41298432514410";"98982";"2650";"Muurarmatuur";"School";"rh";"700";"200";"SCHOOL|";"SB250";"Type II";"1950-01-01";"98982.B1";"153089.06439107";"213702.01017807";""
